user,date,text,location,coordinates,filename
KeishaunTurner,Wed Aug 11 03:02:54 +0000 2021,Should’ve invested in United Airlines. Stock finna 🏌🏾,"Sacramento, CA",,2021-08-19 23:36:16.313209_combined.csv
MegMcCalhoun,Wed Aug 11 03:02:23 +0000 2021,"RT @MelissaJPeltier: Well, that means I’m flying United, Jet Blue, &amp; select foreign airlines with a vaccine mandate.",,,2021-08-19 23:36:16.313209_combined.csv
KikoKikoKate1,Wed Aug 11 03:02:21 +0000 2021,"RT @Brasilmagic: Southwest, Delta and American Airlines said they won’t require vaccination proof like United Airlines. Now I know which ai…",United States,,2021-08-19 23:36:16.313209_combined.csv
Daddiek1,Wed Aug 11 03:02:19 +0000 2021,"RT @RaleighBowman: All airlines should require employees working to be vaccinated. As someone who has worked in the airline industry, our j…",,,2021-08-19 23:36:16.313209_combined.csv
GayEqualGlobal,Wed Aug 11 03:02:14 +0000 2021,RT @o_ke38011833: United Airlines is doing the right thing. The other major carriers are saying we don't care about our employees or our cu…,North East USA,,2021-08-19 23:36:16.313209_combined.csv
USRealityCheck,Wed Aug 11 03:02:03 +0000 2021,"United Airlines has joined a growing list of companies enacting vaccine mandates, but other US carriers are not on… https://t.co/1psJTyKpP9",USA,,2021-08-19 23:36:16.313209_combined.csv
BreakoutAsia,Wed Aug 11 03:01:36 +0000 2021,It’s a tough call to make for any #organization to mandate vaccinations in the #workplace. Organizations are now ta… https://t.co/usNwcmmyGQ,International,,2021-08-19 23:36:16.313209_combined.csv
Erol73802966,Wed Aug 11 03:01:35 +0000 2021,"RT @GillianMcKeith: 3 major USA airlines will not require employees to get jabbed: Southwest, Delta and American.  Bye bye United...  #NoVa…",,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 03:01:34 +0000 2021,"United Airlines flight #UAL1231 spotted at 11,200 feet! https://t.co/kMGEtDGnOM","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
peaceplay,Wed Aug 11 03:01:26 +0000 2021,"I'm flying United. It will probably be more civilized too. 

3 major US airlines will not mandate shots for their u… https://t.co/IEKBO0W6eQ",Chicago,,2021-08-19 23:36:16.313209_combined.csv
bc_nbc,Wed Aug 11 03:01:19 +0000 2021,RT @RobManess: This is how freedom works. I’m sure the other airlines need personnel and will welcome all the @united crews that walk away…,,,2021-08-19 23:36:16.313209_combined.csv
TexasLeaguer17,Wed Aug 11 04:06:02 +0000 2021,RT @barnes_law: I was privileged to advocate for pilots &amp; thrilled to see this result. You can fight back. https://t.co/vpTrzuWQy4,"Sitka, AK",,2021-08-19 23:36:16.313209_combined.csv
drakekoefoed2,Wed Aug 11 04:05:38 +0000 2021,@PastryPlate @veggie64_leslie @united we should close down the airlines.  too much carbon.  fast rail instead.  it… https://t.co/fzqFoIesoj,"West Texas, USA",,2021-08-19 23:36:16.313209_combined.csv
Southern4eva,Wed Aug 11 04:05:20 +0000 2021,RT @leftcoastbabe: When you give United Airlines the moral high ground....,New York,,2021-08-19 23:36:16.313209_combined.csv
0victorem0,Wed Aug 11 04:04:40 +0000 2021,"United Airlines, union agree against mandatory COVID-19 vaccinations for pilots https://t.co/nqBbVZBC27",TN,,2021-08-19 23:36:16.313209_combined.csv
DistinctToday,Wed Aug 11 04:04:14 +0000 2021,"Hawaiian Airlines joins United, Frontier in updating employee COVID vaccine policies https://t.co/0BZEOxWLLa",,,2021-08-19 23:36:16.313209_combined.csv
Barretttechnet,Wed Aug 11 04:03:50 +0000 2021,RT @WGRZ: United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/gOA7p8q2qD,"Baton Rouge, LA",,2021-08-19 23:36:16.313209_combined.csv
letsgohuakai,Wed Aug 11 04:03:42 +0000 2021,@neal_katyal @united Aloha! You can fly Hawaiian Airlines where it suits - they are mandating vaccination. 🤙🏼 https://t.co/Iu1VEbhVE7,"Kauai, Hawaii",,2021-08-19 23:36:16.313209_combined.csv
jimmy86914111,Wed Aug 11 04:03:37 +0000 2021,"Great news.  HOW DOSE #NoVaccinePassports stand with these guy’s, asking for a friend 😀💪 United Airlines, union agr… https://t.co/Xqmv7pcVl5","Sunderland, England",,2021-08-19 23:36:16.313209_combined.csv
ShanePatriot,Wed Aug 11 04:02:14 +0000 2021,"RT @Cudabarbie1: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, bre…",,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 04:01:42 +0000 2021,"United Airlines flight #UAL717 spotted at 6,375 feet! https://t.co/O4rTI6GHck","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
Resist__Fascist,Wed Aug 11 05:04:02 +0000 2021,RT @Shoxie75: @TSSinPDX @petemuntean @lauferlaw @SouthwestAir @AmericanAir @Delta My family will no longer use your airlines. Very shortsig…,Recovering States of America,,2021-08-19 23:36:16.313209_combined.csv
Dafrosty,Wed Aug 11 05:02:55 +0000 2021,RT @sdshamshel: United mandating vaccines when other airlines aren't is basically this meme in plane form https://t.co/29KSgPJd3F,"Petaling Jaya, Selangor",,2021-08-19 23:36:16.313209_combined.csv
DonaldWassink,Wed Aug 11 05:02:35 +0000 2021,"RT @STEPHMHAMILL: Twitter mob is going after 
@SouthwestAir, @Delta, and @AmericanAir
 for letting their employees decide what’s best for t…",,,2021-08-19 23:36:16.313209_combined.csv
willOrt98581590,Wed Aug 11 05:01:45 +0000 2021,"@Allysdream1 Good, we need to make United Airlines go Broke!!",96801,,2021-08-19 23:36:16.313209_combined.csv
willOrt98581590,Wed Aug 11 05:00:58 +0000 2021,"RT @AqAir7: BREAKING: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking wit…",96801,,2021-08-19 23:36:16.313209_combined.csv
MaD2016wiFe,Wed Aug 11 05:00:45 +0000 2021,@OhoneyBit @6ft7300 @lisalovestravel 🍃 Airlines headquarters in States that banned vaccines 🤷🏻‍♀️✈ They're followin… https://t.co/4KjBgwg1it,USA,,2021-08-19 23:36:16.313209_combined.csv
MarkBDonica,Wed Aug 11 04:59:35 +0000 2021,"Cool.

I *hate* United airlines with a fiery passion that I cannot describe, but if they’re the only ones mandating… https://t.co/41Gho64fgm","Orlando, FL",,2021-08-19 23:36:16.313209_combined.csv
SassenH,Wed Aug 11 04:58:22 +0000 2021,"RT @RedState: After United Airlines Issues its Vaccine Mandate, Delta, Southwest, and American Airlines Allow Employees to Remain Unvaccina…",Wyoming,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 04:58:19 +0000 2021,"United Airlines flight #UAL562 spotted at 6,575 feet! https://t.co/zAq3mHHKNl","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
davidjmcbride,Wed Aug 11 04:57:59 +0000 2021,"RT @ramez: It takes a lot to make United Airlines look good. But somehow Southwest, American, and Delta have managed it.",Seattle,,2021-08-19 23:36:16.313209_combined.csv
sdshamshel,Wed Aug 11 04:57:47 +0000 2021,United mandating vaccines when other airlines aren't is basically this meme in plane form https://t.co/29KSgPJd3F,,,2021-08-19 23:36:16.313209_combined.csv
