,user,date,text,location,coordinates,filename
60,laxradar,Wed Aug 11 03:01:34 +0000 2021,"United Airlines flight #UAL1231 spotted at 11,200 feet! https://t.co/kMGEtDGnOM","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
61,peaceplay,Wed Aug 11 03:01:26 +0000 2021,"I'm flying United. It will probably be more civilized too. 

3 major US airlines will not mandate shots for their u… https://t.co/IEKBO0W6eQ",Chicago,,2021-08-16 23:36:43.265249_combined.csv
62,bc_nbc,Wed Aug 11 03:01:19 +0000 2021,RT @RobManess: This is how freedom works. I’m sure the other airlines need personnel and will welcome all the @united crews that walk away…,,,2021-08-16 23:36:43.265249_combined.csv
63,TexasLeaguer17,Wed Aug 11 04:06:02 +0000 2021,RT @barnes_law: I was privileged to advocate for pilots &amp; thrilled to see this result. You can fight back. https://t.co/vpTrzuWQy4,"Sitka, AK",,2021-08-16 23:36:43.265249_combined.csv
64,drakekoefoed2,Wed Aug 11 04:05:38 +0000 2021,@PastryPlate @veggie64_leslie @united we should close down the airlines.  too much carbon.  fast rail instead.  it… https://t.co/fzqFoIesoj,"West Texas, USA",,2021-08-16 23:36:43.265249_combined.csv
65,Southern4eva,Wed Aug 11 04:05:20 +0000 2021,RT @leftcoastbabe: When you give United Airlines the moral high ground....,New York,,2021-08-16 23:36:43.265249_combined.csv
66,0victorem0,Wed Aug 11 04:04:40 +0000 2021,"United Airlines, union agree against mandatory COVID-19 vaccinations for pilots https://t.co/nqBbVZBC27",TN,,2021-08-16 23:36:43.265249_combined.csv
67,DistinctToday,Wed Aug 11 04:04:14 +0000 2021,"Hawaiian Airlines joins United, Frontier in updating employee COVID vaccine policies https://t.co/0BZEOxWLLa",,,2021-08-16 23:36:43.265249_combined.csv
68,Barretttechnet,Wed Aug 11 04:03:50 +0000 2021,RT @WGRZ: United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/gOA7p8q2qD,"Baton Rouge, LA",,2021-08-16 23:36:43.265249_combined.csv
69,letsgohuakai,Wed Aug 11 04:03:42 +0000 2021,@neal_katyal @united Aloha! You can fly Hawaiian Airlines where it suits - they are mandating vaccination. 🤙🏼 https://t.co/Iu1VEbhVE7,"Kauai, Hawaii",,2021-08-16 23:36:43.265249_combined.csv
70,jimmy86914111,Wed Aug 11 04:03:37 +0000 2021,"Great news.  HOW DOSE #NoVaccinePassports stand with these guy’s, asking for a friend 😀💪 United Airlines, union agr… https://t.co/Xqmv7pcVl5","Sunderland, England",,2021-08-16 23:36:43.265249_combined.csv
